HDFname,Product,Date,Site,ProcessDate,Band,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MOD15A2.A2000153.fn_usniwot1.005.2006282004344.FparLai_QC,MOD15A2,A2000153,fn_usniwot1,2006282004344,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000153.fn_usniwot1.005.2006282004344.FparStdDev_1km,MOD15A2,A2000153,fn_usniwot1,2006282004344,FparStdDev_1km,8,5,7,8,5,6,5,5,9,9,4,10,11,11,10,11,11,9,9,11,9,10,11,9,9,9,8,9,10,9,8,10,4,10,11,8,10,11,2,7,0,7,9,11,3,5,5,4,10
MOD15A2.A2000153.fn_usniwot1.005.2006282004344.Fpar_1km,MOD15A2,A2000153,fn_usniwot1,2006282004344,Fpar_1km,19,23,13,19,24,29,39,24,40,39,40,50,66,67,61,66,66,71,71,67,64,55,67,71,78,66,59,60,70,72,75,73,61,60,66,76,73,68,63,62,61,63,72,65,53,48,49,50,56
MOD15A2.A2000153.fn_usniwot1.005.2006282004344.LaiStdDev_1km,MOD15A2,A2000153,fn_usniwot1,2006282004344,LaiStdDev_1km,2,1,1,2,1,2,2,1,3,3,1,4,10,10,5,9,9,10,10,10,5,4,10,10,13,5,4,5,10,10,11,11,2,5,10,11,11,11,1,4,0,4,10,10,2,3,2,2,5
MOD15A2.A2000153.fn_usniwot1.005.2006282004344.Lai_1km,MOD15A2,A2000153,fn_usniwot1,2006282004344,Lai_1km,3,4,2,3,4,7,11,5,10,9,10,14,21,22,17,21,21,24,24,22,18,15,22,24,30,19,16,16,24,25,27,26,16,17,21,28,25,22,17,17,16,17,24,22,17,17,18,15,16
MOD15A2.A2000161.fn_usniwot1.005.2006284212413.FparExtra_QC,MOD15A2,A2000161,fn_usniwot1,2006284212413,FparExtra_QC,10100000,10100000,10100000,10100000,11000000,11000000,11000000,11000000,00110000,00110000,11000000,00000000,01000000,01001000,01001000,01000000,01000000,01000000,01000000,01000000,00001000,00000000,00000000,00000000,01000000,00000000,00000000,00000000,00000000,00000000,01000000,00000000,01001000,00000000,01001000,00000000,01000000,01001000,01001000,01001000,01001000,01001000,01000000,01001000,11001000,11001000,11001000,11001000,01000000
MOD15A2.A2000161.fn_usniwot1.005.2006284212413.FparLai_QC,MOD15A2,A2000161,fn_usniwot1,2006284212413,FparLai_QC,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00010000,00001000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
MOD15A2.A2000161.fn_usniwot1.005.2006284212413.FparStdDev_1km,MOD15A2,A2000161,fn_usniwot1,2006284212413,FparStdDev_1km,9,8,10,9,5,6,5,4,6,10,6,10,4,9,6,9,12,9,9,6,8,5,11,11,11,6,3,3,8,8,12,2,9,7,11,3,9,9,9,10,11,8,11,10,4,3,4,4,9
MOD15A2.A2000161.fn_usniwot1.005.2006284212413.Fpar_1km,MOD15A2,A2000161,fn_usniwot1,2006284212413,Fpar_1km,15,19,15,17,22,29,43,31,25,41,33,45,55,61,57,62,66,67,68,58,52,52,65,70,65,59,49,54,67,66,74,64,49,53,74,66,76,82,54,56,62,52,69,65,58,56,54,54,50
MOD15A2.A2000161.fn_usniwot1.005.2006284212413.LaiStdDev_1km,MOD15A2,A2000161,fn_usniwot1,2006284212413,LaiStdDev_1km,2,2,2,2,1,2,2,1,1,3,2,3,2,5,3,6,11,6,7,3,4,2,9,12,10,3,1,1,6,5,16,1,4,3,13,2,12,14,4,5,9,4,11,9,2,2,2,2,4
